run,increment,latency_api_ms,latency_e2e_detik,throughput_req_per_sec
1,1,95,2.1,45
2,1,102,2.4,44
3,1,98,2.0,46
4,1,110,2.3,43
5,1,105,2.2,45
6,1,99,2.1,44
7,1,103,2.5,45
8,1,101,2.2,46
9,1,97,2.0,44
10,1,100,2.2,45
1,2,280,3.5,30
2,2,310,3.8,28
3,2,295,3.4,31
4,2,340,4.0,27
5,2,305,3.6,29
6,2,290,3.5,30
7,2,320,3.9,28
8,2,300,3.7,30
9,2,315,3.8,29
10,2,288,3.5,31
1,3,720,4.2,20
2,3,850,5.1,18
3,3,780,4.5,19
4,3,910,5.3,17
5,3,800,4.8,20
6,3,760,4.1,21
7,3,880,4.9,18
8,3,790,4.4,20
9,3,830,4.7,19
10,3,775,4.3,20
