id,increment,use_case,aktor,skenario,expected_result,actual_result,status,catatan
F1-01,1,UC-01,Petani,Login dengan HP dan password valid,Redirect ke /petani,,,
F1-02,1,UC-01,Petani,Login password salah,Tampil pesan error,,,
F1-03,1,UC-06,Sensor,Publish MQTT telemetry valid,Row baru di sensor_data,,,
F1-04,1,UC-07,Petani,Buka dashboard petani,Kartu screenhouse + 11 parameter,,,
F1-05,1,UC-08,Operator,Buka detail screenhouse,Parameter dan lokasi tampil,,,
F1-06,1,UC-09,Operator,Buka peta operator,Marker screenhouse muncul,,,
F1-07,1,UC-10,Operator,Filter provinsi,Peta terfilter,,,
F1-08,1,UC-11,Operator,Lihat status device,Status healthy/warning/offline,,,
F1-09,1,UC-03,Operator,Approve petani pending,Status approved; petani bisa login,,,
F1-10,1,UC-06,Sensor,MQTT node_code tidak terdaftar,Data ditolak; log error,,,
F2-01,2,UC-13,Petani,Buka /petani/tren,Grafik NPK 24 jam,,,
F2-02,2,UC-13,Petani,Pilih screenhouse lain,Grafik berubah sesuai SH,,,
F2-03,2,UC-13,Petani,SH belum punya histori,Pesan data belum tersedia,,,
F2-04,2,UC-14,Operator,Grafik historis di detail SH,Chart 24 jam tampil,,,
F2-05,2,UC-12,Operator,Buka laporan wilayah,KPI + grafik agregat,,,
F2-06,2,UC-12,Operator,Filter periode laporan,Data sesuai filter,,,
F2-07,2,UC-12,Operator,Unduh PDF laporan,File PDF terunduh,,,
F2-08,2,UC-12,Operator,Filter tanpa data,Pesan data kosong,,,
F2-09,2,UC-07,Petani,Dashboard tetap realtime setelah tren,Data terbaru masih update,,,
F2-10,2,UC-14,Admin,Grafik historis admin,Chart tampil di detail,,,
F3-01,3,UC-15,Admin,Simpan threshold baru,threshold_snapshots ter-update,,,
F3-02,3,UC-16,Sistem,Sensor di luar batas,Alert active di DB,,,
F3-03,3,UC-16,Sistem,Semua parameter normal,Tidak ada alert baru,,,
F3-04,3,UC-17,Petani,Buka halaman peringatan,Daftar alert aktif,,,
F3-05,3,UC-18,Petani,App terbuka saat alert,Toast/badge Socket.IO,,,
F3-06,3,UC-18,Petani,PWA tertutup saat alert,Web Push diterima,,,
F3-07,3,UC-19,Petani,Resolve alert,Status resolved,,,
F3-08,3,UC-20,Petani,Toggle fan ON,Perintah MQTT terkirim,,,
F3-09,3,UC-21,Hardware,Telemetry balik status relay,Dashboard update status,,,
F3-10,3,UC-20,Petani,Toggle aktuator OFF,Status OFF di UI,,,
